vars,creation_time,label,trial_id,asset_key,type,class,object_type
{},2023-02-16 17:07:11,stimulus,139,consonance_main_experiment/participants/participant_6/node_13__trial_139__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:07:12,stimulus,140,consonance_main_experiment/participants/participant_3/node_20__trial_20__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:07:15,stimulus,141,consonance_main_experiment/participants/participant_7/node_28__trial_141__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:07:15,stimulus,142,consonance_main_experiment/participants/participant_2/node_22__trial_78__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:07:16,stimulus,143,consonance_main_experiment/participants/participant_6/node_30__trial_143__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:07:17,stimulus,144,consonance_main_experiment/participants/participant_3/node_48__trial_106__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:07:20,stimulus,145,consonance_main_experiment/participants/participant_2/node_50__trial_75__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:07:20,stimulus,146,consonance_main_experiment/participants/participant_7/node_48__trial_146__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:07:22,stimulus,147,consonance_main_experiment/participants/participant_3/node_46__trial_36__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:07:22,stimulus,148,consonance_main_experiment/participants/participant_6/node_51__trial_148__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:07:25,stimulus,149,consonance_main_experiment/participants/participant_7/node_9__trial_149__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:07:26,stimulus,150,consonance_main_experiment/participants/participant_3/node_19__trial_136__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:07:26,stimulus,151,consonance_main_experiment/participants/participant_6/node_27__trial_151__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:07:29,stimulus,152,consonance_main_experiment/participants/participant_7/node_35__trial_152__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:07:30,stimulus,153,consonance_main_experiment/participants/participant_6/node_44__trial_153__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:07:34,stimulus,154,consonance_main_experiment/participants/participant_7/node_7__trial_154__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:07:34,stimulus,155,consonance_main_experiment/participants/participant_6/node_18__trial_155__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:07:38,stimulus,156,consonance_main_experiment/participants/participant_7/node_34__trial_156__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:07:39,stimulus,157,consonance_main_experiment/participants/participant_6/node_16__trial_157__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:07:43,stimulus,158,consonance_main_experiment/participants/participant_7/node_43__trial_158__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:07:44,stimulus,159,consonance_main_experiment/participants/participant_6/node_17__trial_159__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:07:47,stimulus,160,consonance_main_experiment/participants/participant_7/node_25__trial_160__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:07:48,stimulus,161,consonance_main_experiment/participants/participant_6/node_14__trial_161__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:07:51,stimulus,162,consonance_main_experiment/participants/participant_7/node_22__trial_162__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:07:52,stimulus,163,consonance_main_experiment/participants/participant_6/node_35__trial_163__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:07:56,stimulus,164,consonance_main_experiment/participants/participant_6/node_15__trial_164__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:07:57,stimulus,165,consonance_main_experiment/participants/participant_7/node_21__trial_165__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:08:00,stimulus,166,consonance_main_experiment/participants/participant_6/node_54__trial_166__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:08:02,stimulus,167,consonance_main_experiment/participants/participant_7/node_55__trial_167__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:08:05,stimulus,168,consonance_main_experiment/participants/participant_6/node_21__trial_168__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:08:06,stimulus,169,consonance_main_experiment/participants/participant_7/node_17__trial_169__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:08:11,stimulus,170,consonance_main_experiment/participants/participant_7/node_42__trial_170__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:08:13,stimulus,171,consonance_main_experiment/participants/participant_6/node_31__trial_171__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:08:16,stimulus,172,consonance_main_experiment/participants/participant_7/node_47__trial_172__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:08:18,stimulus,173,consonance_main_experiment/participants/participant_6/node_48__trial_173__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:08:21,stimulus,174,consonance_main_experiment/participants/participant_7/node_29__trial_174__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:08:22,stimulus,175,consonance_main_experiment/participants/participant_6/node_20__trial_175__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:08:25,stimulus,176,consonance_main_experiment/participants/participant_7/node_49__trial_176__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:08:26,stimulus,177,consonance_main_experiment/participants/participant_6/node_50__trial_177__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:08:29,stimulus,178,consonance_main_experiment/participants/participant_7/node_8__trial_178__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:08:30,stimulus,179,consonance_main_experiment/participants/participant_6/node_29__trial_179__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:08:34,stimulus,180,consonance_main_experiment/participants/participant_6/node_19__trial_180__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:08:34,stimulus,181,consonance_main_experiment/participants/participant_7/node_19__trial_181__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:08:38,stimulus,182,consonance_main_experiment/participants/participant_6/node_53__trial_182__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:08:38,stimulus,183,consonance_main_experiment/participants/participant_7/node_37__trial_183__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:08:42,stimulus,184,consonance_main_experiment/participants/participant_6/node_47__trial_184__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:08:44,stimulus,185,consonance_main_experiment/participants/participant_7/node_30__trial_185__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:08:46,stimulus,186,consonance_main_experiment/participants/participant_6/node_32__trial_186__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:08:49,stimulus,187,consonance_main_experiment/participants/participant_7/node_15__trial_187__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:08:50,stimulus,188,consonance_main_experiment/participants/participant_6/node_28__trial_188__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:08:55,stimulus,189,consonance_main_experiment/participants/participant_6/node_10__trial_189__stimulus,AssetTrial,AssetTrial,AssetTrial
