type,pitch_interval,pleasantness,pleasantness_se
Carillon,2.13,-0.566223812921187,0.07913606273869868
Carillon,2.14,-0.559071984471519,0.07892113361072747
Carillon,2.15,-0.5518057152991226,0.07869216903515634
Carillon,2.16,-0.5444242061291176,0.07845663737726036
Carillon,2.17,-0.5369266576866246,0.07822226277054546
Carillon,2.18,-0.5293122706967636,0.07799616342071014
Carillon,2.19,-0.5215802458846546,0.07778515719484118
Carillon,2.2,-0.5137297839754178,0.0775976419018245
Carillon,2.21,-0.5057600856941739,0.07744165068947864
Carillon,2.22,-0.4976703517660422,0.07731966859741139
Carillon,2.23,-0.4894597829161437,0.0772326339100843
Carillon,2.24,-0.48112757986959787,0.07717972091570127
Carillon,2.25,-0.47267294335152565,0.07715253526954756
Carillon,2.2600000000000002,-0.4640950740870463,0.0771423605954184
Carillon,2.27,-0.455393172801281,0.0771430291050207
Carillon,2.2800000000000002,-0.44656644021934894,0.07715056900722998
Carillon,2.29,-0.4376140770663712,0.07716313251860203
Carillon,2.3000000000000003,-0.428535284067467,0.0771778329654169
Carillon,2.31,-0.4193292619477575,0.07718958923594131
Carillon,2.32,-0.40997024990658043,0.07719894513477414
Carillon,2.33,-0.4003684025742541,0.07720585142191871
Carillon,2.34,-0.39053226670081276,0.0772047276101705
Carillon,2.35,-0.3804807443164492,0.07719481927962213
Carillon,2.36,-0.37023273745135804,0.07717709898013339
Carillon,2.37,-0.359807148135732,0.07715460948843571
Carillon,2.38,-0.34922287839976585,0.07712795186348759
Carillon,2.39,-0.33849883027365235,0.07709650409536643
Carillon,2.4,-0.327653905787586,0.07705807032452187
Carillon,2.41,-0.31670700697175974,0.07700935670145778
Carillon,2.42,-0.3056770358563682,0.07695015620346032
Carillon,2.43,-0.2945828944716042,0.07688700819387034
Carillon,2.44,-0.2834434848476622,0.07682269833949733
Carillon,2.45,-0.2722777090147352,0.07675806409901126
Carillon,2.46,-0.2611044690030177,0.0766891962358438
Carillon,2.47,-0.2499426668427026,0.07661321958072445
Carillon,2.48,-0.23881120456398452,0.07652910036132203
Carillon,2.49,-0.22772898419705617,0.07643499330210969
Carillon,2.5,-0.21671490777211228,0.07632986560602557
Carillon,2.5100000000000002,-0.20578787731934564,0.07621802079122393
Carillon,2.52,-0.1949667948689508,0.07610548476178006
Carillon,2.5300000000000002,-0.18427056245112067,0.07599307815146125
Carillon,2.54,-0.1737180820960498,0.07587994558786808
Carillon,2.5500000000000003,-0.1631588239420998,0.07576103439225138
Carillon,2.56,-0.15220778149168032,0.07563117076960899
Carillon,2.57,-0.14088981899186304,0.07548593010040183
Carillon,2.58,-0.12924928307433203,0.07532074855716335
Carillon,2.59,-0.11733052037077277,0.07513360993357117
Carillon,2.6,-0.10517787751286883,0.07493332009210155
Carillon,2.61,-0.09283570113230585,0.07471747421284819
Carillon,2.62,-0.08034833786076727,0.07447920900345022
Carillon,2.63,-0.06776013432993876,0.07422436911647952
Carillon,2.64,-0.05511543717150372,0.07396021601754575
Carillon,2.65,-0.042458593017147904,0.07369055916887765
Carillon,2.66,-0.02983394849855468,0.07341737541300578
Carillon,2.67,-0.01728585024740975,0.07314316728743032
Carillon,2.68,-0.004858644895396541,0.07286654649934488
Carillon,2.69,0.007403320925799273,0.072585642666559
Carillon,2.7,0.01945570058449421,0.0722961196169067
Carillon,2.71,0.031254147449002664,0.07200235634547766
Carillon,2.72,0.04275431488764112,0.0717064473708872
Carillon,2.73,0.053911856268724016,0.0714095097279177
Carillon,2.74,0.06468242496056778,0.07111764126623907
Carillon,2.75,0.07502167433148689,0.0708370334268434
Carillon,2.7600000000000002,0.08529487036277716,0.07057434526016987
Carillon,2.77,0.09621060413257379,0.07034060881914767
Carillon,2.7800000000000002,0.10771799012944903,0.07013683525311248
Carillon,2.79,0.11974846228048938,0.06995221393644153
Carillon,2.8000000000000003,0.13223345451278348,0.06977958610983408
Carillon,2.81,0.14510440075341768,0.0696171578935562
Carillon,2.82,0.1582927349294801,0.06947211830117556
Carillon,2.83,0.17172989096805888,0.06933796409265187
Carillon,2.84,0.1853473027962403,0.06921313404047492
Carillon,2.85,0.19907640434111318,0.06909819290959275
Carillon,2.86,0.21284862952976372,0.06900317870722371
Carillon,2.87,0.2265954122892808,0.068933929964276
Carillon,2.88,0.24024818654675065,0.06890058305779058
Carillon,2.89,0.253738386229262,0.06890988098446328
Carillon,2.9,0.26699744526390123,0.06895907394659168
Carillon,2.91,0.27995679757775704,0.06904582595474655
Carillon,2.92,0.2925478770979157,0.06917122452257976
Carillon,2.93,0.30470211775146594,0.06933711516829308
Carillon,2.94,0.31635095346549424,0.06954088448838917
Carillon,2.95,0.32742581816708916,0.0697783817812529
Carillon,2.96,0.33785814578333717,0.0700496752866889
Carillon,2.97,0.3475793702413268,0.07035154271065835
Carillon,2.98,0.3565209254681447,0.07067621535658954
Carillon,2.99,0.3646142453908791,0.07101267404170764
Carillon,3,0.371790763936617,0.07135055590486455
Carillon,3.0100000000000002,0.37798191503244627,0.07168274791831097
Carillon,3.02,0.38311913260545416,0.07200083337727001
Carillon,3.0300000000000002,0.3871341624695299,0.07229970050899645
Carillon,3.04,0.3900939058362533,0.07257831305606147
Carillon,3.0500000000000003,0.3921267890894425,0.07283678170829072
Carillon,3.06,0.3932891055043106,0.0730731963331046
Carillon,3.0700000000000003,0.3936371483560711,0.07328560175636649
Carillon,3.08,0.39322721091993745,0.07347260173819406
Carillon,3.09,0.39211558647112293,0.07363286686274352
Carillon,3.1,0.39035856828484095,0.07376571138355502
Carillon,3.11,0.3880124496363049,0.07387109565318847
Carillon,3.12,0.3851335238007281,0.07395543560997622
Carillon,3.13,0.38177808405332414,0.07402290623268887
Carillon,3.14,0.37800242366930603,0.07407687105387054
Carillon,3.15,0.3738628359238875,0.07412461907294272
Carillon,3.16,0.3694156140922817,0.07417066746200218
Carillon,3.17,0.36471705144970235,0.07421849550388518
Carillon,3.18,0.35982344127136234,0.07427013484711051
Carillon,3.19,0.35479107683247546,0.07432711134291979
Carillon,3.2,0.3496762514082548,0.0743899648652643
Carillon,3.21,0.34453525827391424,0.07446179079360088
Carillon,3.22,0.33942439070466635,0.07454461249065619
Carillon,3.23,0.33439994197572537,0.07464193972975638
Carillon,3.24,0.32951820536230403,0.07475091464369456
Carillon,3.25,0.32483547413961616,0.07486063634548136
Carillon,3.2600000000000002,0.3204080415828748,0.07496796934456607
Carillon,3.27,0.3162922009672936,0.07506893080513033
Carillon,3.2800000000000002,0.31254424556808574,0.07515852443762061
Carillon,3.29,0.3092204686604648,0.07522419592718434
Carillon,3.3000000000000003,0.30595629475848635,0.07525547799342787
Carillon,3.31,0.30196938145676755,0.07524481312637665
Carillon,3.3200000000000003,0.29728952583425045,0.07519043211377935
Carillon,3.33,0.29196942553995126,0.07508798431212234
