interval,timbre_type,model,value
1.02,Harmonic,harmonicity,1.1006241292969843
1.03,Carillon,roughness,0.581885403775752
1.03,Carillon,harmonicity,0.8880128279706667
1.03,Harmonic,roughness,0.40850339006147063
1.03,Harmonic,harmonicity,1.1036408231611143
1.04,Carillon,roughness,0.5819656522312502
1.04,Carillon,harmonicity,0.8892077036087362
1.04,Harmonic,roughness,0.40578102352373613
1.04,Harmonic,harmonicity,1.1095557106865586
1.05,Carillon,roughness,0.581967930205254
1.05,Carillon,harmonicity,0.8907441880343069
1.05,Harmonic,roughness,0.4030517474704766
1.05,Harmonic,harmonicity,1.1123306689338628
1.06,Carillon,roughness,0.581894188366094
1.06,Carillon,harmonicity,0.8923320756350853
1.06,Harmonic,roughness,0.40031765292137345
1.06,Harmonic,harmonicity,1.1174736376230499
1.07,Carillon,roughness,0.5817847329135772
1.07,Carillon,harmonicity,0.8944077114954126
1.07,Harmonic,roughness,0.39758072507285874
1.07,Harmonic,harmonicity,1.1208845380348011
1.08,Carillon,roughness,0.5815656495907758
1.08,Carillon,harmonicity,0.8965032728644303
1.08,Harmonic,roughness,0.3948428442753162
1.08,Harmonic,harmonicity,1.1218147978304711
1.09,Carillon,roughness,0.5812762924616028
1.09,Carillon,harmonicity,0.8987556431907425
1.09,Harmonic,roughness,0.39210578696277726
1.09,Harmonic,harmonicity,1.126309642940187
1.1,Carillon,roughness,0.5809185237049748
1.1,Carillon,harmonicity,0.9013122316705879
1.1,Harmonic,roughness,0.3893712265340831
1.1,Harmonic,harmonicity,1.1282235920989672
1.11,Carillon,roughness,0.5804941807058185
1.11,Carillon,harmonicity,0.9025118426569376
1.11,Harmonic,roughness,0.38664073418508715
1.11,Harmonic,harmonicity,1.1295528176996854
1.12,Carillon,roughness,0.5800050752001553
1.12,Carillon,harmonicity,0.9065954410232971
1.12,Harmonic,roughness,0.38391577969210516
1.12,Harmonic,harmonicity,1.1290523848048046
1.1300000000000001,Carillon,roughness,0.5794529924992954
1.1300000000000001,Carillon,harmonicity,0.9089020479480922
1.1300000000000001,Harmonic,roughness,0.38119773214738056
1.1300000000000001,Harmonic,harmonicity,1.1303618096351267
1.1400000000000001,Carillon,roughness,0.5788396907906508
1.1400000000000001,Carillon,harmonicity,0.9116130056972657
