experiment,interval,value,measure,measure_group,colour,timbre,ymin,ymax
Experiment,2.5375375375375375,-0.05832090447534034,Participants,,black,Harmonic,-0.18218833651544572,0.06554652756476503
Experiment,2.5525525525525525,-0.05250921674901229,Participants,,black,Harmonic,-0.17570881111208445,0.07069037761405986
Experiment,2.5675675675675675,-0.0462151244475673,Participants,,black,Harmonic,-0.16869717477907215,0.07626692588393755
Experiment,2.5825825825825826,-0.03948942480099083,Participants,,black,Harmonic,-0.16120930310675066,0.08223045350476901
Experiment,2.5975975975975976,-0.03238174113859081,Participants,,black,Harmonic,-0.15330359709612135,0.08854011481893971
Experiment,2.6126126126126126,-0.024939797743711176,Participants,,black,Harmonic,-0.14503985395250102,0.09516025846507867
Experiment,2.6276276276276276,-0.017208933022769414,Participants,,black,Harmonic,-0.13647815618407608,0.10206029013853726
Experiment,2.6426426426426426,-0.009231841363249893,Participants,,black,Harmonic,-0.12767781787850718,0.10921413515200741
Experiment,2.6576576576576576,-0.0010485210335202057,Participants,,black,Harmonic,-0.11869642506983122,0.1165993830027908
Experiment,2.6726726726726726,0.007303603818003148,Participants,,black,Harmonic,-0.10958900449061415,0.12419621212662044
Experiment,2.6876876876876876,0.015789424425637858,Participants,,black,Harmonic,-0.1004073513515539,0.1319862002028296
Experiment,2.7027027027027026,0.024375791120014003,Participants,,black,Harmonic,-0.0911995414349479,0.13995112367497592
Experiment,2.7177177177177176,0.033031097508118605,Participants,,black,Harmonic,-0.08200964508618949,0.1480718401024267
Experiment,2.7327327327327327,0.04172483971775656,Participants,,black,Harmonic,-0.07287765037500595,0.15632732981051906
Experiment,2.7477477477477477,0.05042718043818223,Participants,,black,Harmonic,-0.06383959016685692,0.16469395104322138
Experiment,2.7627627627627627,0.05910854191226614,Participants,,black,Harmonic,-0.05492785422311461,0.17314493804764688
Experiment,2.7777777777777777,0.06773924636497963,Participants,,black,Harmonic,-0.046171654431667375,0.18165014716162664
Experiment,2.7927927927927927,0.0762892170493391,Participants,,black,Harmonic,-0.037597600732631936,0.19017603483131013
Experiment,2.8078078078078077,0.08472774845388628,Participants,,black,Harmonic,-0.029230338821416013,0.19868583572918858
Experiment,2.8228228228228227,0.09302335039582023,Participants,,black,Harmonic,-0.02109319915001158,0.20713989994165205
Experiment,2.8378378378378377,0.10114366774645846,Participants,,black,Harmonic,-0.01320881006819874,0.21549614556111565
Experiment,2.8528528528528527,0.10905547533092032,Participants,,black,Harmonic,-0.005599635267953623,0.22371058592979426
Experiment,2.8678678678678677,0.11672474597782617,Participants,,black,Harmonic,0.0017115944322498439,0.23173789752340251
Experiment,2.8828828828828827,0.12411678859907824,Participants,,black,Harmonic,0.008701574144544047,0.23953200305361244
Experiment,2.8978978978978978,0.13119645237815045,Participants,,black,Harmonic,0.015346251787163964,0.24704665296913692
Experiment,2.9129129129129128,0.13792839247597288,Participants,,black,Harmonic,0.021620789214094813,0.25423599573785094
Experiment,2.9279279279279278,0.14427739199672215,Participants,,black,Harmonic,0.02749965173216773,0.2610551322612766
Experiment,2.942942942942943,0.15020873420639755,Participants,,black,Harmonic,0.03295681615175504,0.26746065226104004
Experiment,2.957957957957958,0.15568861813147133,Participants,,black,Harmonic,0.03796608551414901,0.27341115074879363
Experiment,2.972972972972973,0.16068460970225673,Participants,,black,Harmonic,0.04250149801329814,0.2788677213912153
Experiment,2.987987987987988,0.1651661196126345,Participants,,black,Harmonic,0.04653781764568392,0.28379442157958507
Experiment,3.003003003003003,0.16910489814783877,Participants,,black,Harmonic,0.050051094055442544,0.288158702240235
Experiment,3.018018018018018,0.1724755365085092,Participants,,black,Harmonic,0.05301927830658451,0.29193179471043385
Experiment,3.033033033033033,0.1752559637559284,Participants,,black,Harmonic,0.055422879567891895,0.2950890479439649
Experiment,3.048048048048048,0.17742792852246211,Participants,,black,Harmonic,0.05724564490927596,0.29761021213564826
Experiment,3.063063063063063,0.1789774551336969,Participants,,black,Harmonic,0.05847524088779786,0.2994796693795959
Experiment,3.078078078078078,0.1798952647790011,Participants,,black,Harmonic,0.0591039119545584,0.30068661760344384
