vars,creation_time,failed,failed_reason,time_of_death,id,module_id,participant_id,time_started,time_finished,time_aborted,started,finished,aborted,type,participant_group,in_repeat_phase,performance_check,trials_to_repeat,repeat_trial_index,n_completed_trials,block_order,block_position,block,participated_networks,n_participant_trials_in_trial_maker,n_participant_trials_in_block,class,object_type
{},2023-02-16 18:05:59,False,,,143,headphone_test,44,2023-02-16 18:05:59,2023-02-16 18:06:50,,True,True,False,ChainTrialMakerState,default,False,"{'score': None, 'passed': True}",,,6,['default'],0,default,"[3, 6, 5, 4, 2, 1]",6,6,ChainTrialMakerState,ModuleState
{},2023-02-16 18:06:11,False,,,150,headphone_test,43,2023-02-16 18:06:11,2023-02-16 18:07:04,,True,True,False,ChainTrialMakerState,default,False,"{'score': None, 'passed': True}",,,6,['default'],0,default,"[6, 1, 2, 4, 3, 5]",6,6,ChainTrialMakerState,ModuleState
{},2023-02-16 18:06:30,False,,,154,headphone_test,37,2023-02-16 18:06:30,2023-02-16 18:07:09,,True,True,False,ChainTrialMakerState,default,False,"{'score': None, 'passed': True}",,,6,['default'],0,default,"[2, 5, 1, 3, 4, 6]",6,6,ChainTrialMakerState,ModuleState
{},2023-02-16 18:06:41,False,,,156,consonance_main_experiment,42,2023-02-16 18:06:41,2023-02-16 18:10:03,,True,True,False,ChainTrialMakerState,default,True,"{'score': 0.8888888888888888, 'passed': True}","[1126, 1144, 1316, 1195]",4.0,54,['default'],0,default,"[19, 54, 18, 39, 53, 17, 21, 47, 42, 27, 38, 52, 11, 12, 28, 9, 35, 20, 26, 34, 46, 55, 44, 16, 50, 36, 7, 13, 33, 14, 56, 37, 41, 22, 15, 25, 49, 30, 10, 40, 24, 43, 51, 31, 23, 8, 32, 48, 45, 29, 38, 9, 45, 50]",54,54,ChainTrialMakerState,ModuleState
{},2023-02-16 18:06:41,False,,,157,headphone_test,39,2023-02-16 18:06:41,2023-02-16 18:07:20,,True,True,False,ChainTrialMakerState,default,False,"{'score': None, 'passed': True}",,,6,['default'],0,default,"[1, 3, 5, 6, 2, 4]",6,6,ChainTrialMakerState,ModuleState
{},2023-02-16 18:06:56,False,,,159,consonance_main_experiment,44,2023-02-16 18:06:56,2023-02-16 18:11:29,,True,True,False,ChainTrialMakerState,default,True,"{'score': 0.5, 'passed': True}","[1306, 1121, 1262, 1160]",4.0,54,['default'],0,default,"[54, 30, 49, 53, 43, 44, 33, 23, 52, 48, 7, 10, 41, 42, 20, 24, 40, 45, 37, 8, 28, 18, 25, 22, 17, 39, 27, 38, 55, 19, 26, 50, 31, 32, 13, 15, 16, 9, 47, 11, 34, 21, 51, 29, 14, 36, 12, 35, 56, 46, 50, 49, 39, 48]",54,54,ChainTrialMakerState,ModuleState
{},2023-02-16 18:07:14,False,,,164,consonance_main_experiment,43,2023-02-16 18:07:14,2023-02-16 18:12:19,,True,True,False,ChainTrialMakerState,default,True,"{'score': 0.816496580927726, 'passed': True}","[1442, 1278, 1466, 1138]",4.0,54,['default'],0,default,"[51, 28, 56, 42, 40, 20, 23, 29, 50, 41, 32, 45, 44, 11, 14, 37, 13, 9, 16, 27, 12, 54, 18, 7, 25, 19, 21, 55, 35, 38, 39, 10, 15, 52, 31, 46, 48, 8, 47, 17, 36, 33, 26, 34, 30, 49, 24, 43, 53, 22, 33, 18, 30, 42]",54,54,ChainTrialMakerState,ModuleState
{},2023-02-16 18:07:20,False,,,166,consonance_main_experiment,37,2023-02-16 18:07:20,2023-02-16 18:11:10,,True,True,False,ChainTrialMakerState,default,True,"{'score': 0.0, 'passed': True}","[1191, 1150, 1140, 1251]",4.0,54,['default'],0,default,"[9, 20, 11, 14, 35, 41, 29, 53, 50, 32, 55, 31, 49, 15, 38, 25, 27, 39, 46, 51, 44, 22, 17, 8, 26, 33, 36, 42, 23, 12, 10, 16, 52, 34, 21, 24, 19, 28, 48, 37, 54, 47, 7, 30, 56, 40, 18, 45, 13, 43, 15, 41, 14, 8]",54,54,ChainTrialMakerState,ModuleState
{},2023-02-16 18:07:30,False,,,168,consonance_main_experiment,39,2023-02-16 18:07:30,2023-02-16 18:11:39,,True,True,False,ChainTrialMakerState,default,True,"{'score': 0.5773502691896258, 'passed': True}","[1283, 1134, 1322, 1376]",4.0,54,['default'],0,default,"[29, 32, 31, 9, 54, 18, 52, 7, 17, 34, 38, 8, 45, 40, 48, 20, 22, 46, 35, 27, 44, 47, 13, 33, 28, 26, 14, 36, 56, 51, 43, 23, 10, 24, 37, 55, 19, 30, 41, 16, 53, 42, 50, 39, 21, 12, 15, 49, 25, 11, 28, 29, 51, 30]",54,54,ChainTrialMakerState,ModuleState
{},2023-02-16 18:07:34,False,,,170,headphone_test,48,2023-02-16 18:07:34,2023-02-16 18:08:25,,True,True,False,ChainTrialMakerState,default,False,"{'score': None, 'passed': True}",,,6,['default'],0,default,"[1, 5, 2, 6, 4, 3]",6,6,ChainTrialMakerState,ModuleState
